Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"fun run",2026-04-06,5.01,32.1,6:25/km,"No description",1.00,6:56,6:56/km,1.00,6:44,6:44/km,1.00,6:35,6:35/km,1.00,6:20,6:20/km,1.00,5:32,5:31/km,7.5,0:01,2:13/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morning Run",2026-04-01,7,49,7:00/km,"No description",1.00,6:43,6:41/km,1.00,6:20,6:21/km,1.00,6:15,6:14/km,1.00,6:41,6:40/km,1.00,7:07,7:07/km,1.00,7:41,7:43/km,1.00,8:16,8:15/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afternoon Run",2026-03-27,5,36.9,7:22/km,"No description",1.00,6:19,6:19/km,1.00,6:17,6:17/km,1.00,7:49,7:49/km,1.00,9:08,9:07/km,1.00,7:20,7:20/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evening Run",2026-03-24,5.05,32.9,6:31/km,"No description",1.00,6:24,6:22/km,1.00,6:24,6:25/km,1.00,6:13,6:13/km,1.00,7:45,7:45/km,1.00,5:49,5:49/km,47.3,0:17,5:59/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tiring",2026-03-20,12,82.9,6:55/km,"No description",1.00,6:20,6:19/km,1.00,6:09,6:09/km,1.00,6:29,6:29/km,1.00,6:17,6:17/km,1.00,6:18,6:19/km,1.00,6:17,6:17/km,1.00,7:06,7:06/km,1.00,6:12,6:11/km,1.00,6:56,6:57/km,1.00,6:59,6:58/km,1.00,11:32,11:34/km,1.00,6:17,6:17/km,13,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hehe",2026-03-19,5.06,34.9,6:53/km,"No description",1.00,5:52,5:52/km,1.00,5:50,5:50/km,1.00,5:08,5:08/km,1.00,7:58,7:58/km,1.00,9:35,9:37/km,61.4,0:30,8:08/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"slow man walk",2026-03-18,5,39.4,7:53/km,"No description",1.00,7:21,7:19/km,1.00,8:43,8:46/km,1.00,7:13,7:13/km,1.00,7:07,7:06/km,1.00,9:01,9:01/km,6,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"slow man walk",2026-03-17,5.03,40,7:56/km,"No description",1.00,6:06,6:05/km,1.00,6:12,6:12/km,1.00,7:34,7:34/km,1.00,10:15,10:16/km,1.00,9:26,9:25/km,32.8,0:26,13:13/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"medium effort",2026-03-16,5.04,29.7,5:53/km,"No description",1.00,6:12,6:12/km,1.00,6:08,6:07/km,1.00,6:23,6:24/km,1.00,5:37,5:37/km,1.00,5:13,5:13/km,39.6,0:09,3:47/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ran out of gas 🛢️",2026-03-14,5.04,31.4,6:13/km,"No description",1.00,5:54,5:54/km,1.00,5:58,5:58/km,1.00,6:08,6:08/km,1.00,6:18,6:17/km,1.00,6:48,6:47/km,41.2,0:17,6:53/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tried pushing pace",2026-03-12,5.03,27.9,5:32/km,"No description",1.00,5:50,5:49/km,1.00,5:39,5:39/km,1.00,5:32,5:31/km,1.00,5:28,5:28/km,1.00,5:19,5:19/km,29.1,0:06,3:26/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chill run",2026-03-07,5,31.1,6:13/km,"No description",1.00,6:15,6:15/km,1.00,6:24,6:23/km,1.00,6:09,6:08/km,1.00,6:07,6:08/km,1.00,6:09,6:08/km,6,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"something",2026-03-06,5.06,31.3,6:12/km,"No description",1.00,6:13,6:13/km,1.00,6:07,6:06/km,1.00,6:06,6:06/km,1.00,6:04,6:05/km,1.00,6:10,6:10/km,55.7,0:40,11:58/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
